time_x,x,y,z,roll,pitch,yaw,xdot,ydot,zdot,p,q,r,Gap,time_u,thrust,roll angle,pitch angle,yaw angle
141.3,4.218486768,-0.463745059,-2.090601467,0.085798422,0.091206188,-0.096211855,-1.054080384,1.568263078,-2.208288289,-0.104773342,-0.038984621,0.122579167,,141.3,5.00785806,-0.001903016,0.000407316,0.00254112
141.4,4.080072202,-0.379438431,-2.254812527,0.026598174,0.047955335,-0.110385809,-1.183119359,1.629450004,-2.185267289,-0.084928991,-0.034065877,0.08907134,,141.4,5.047288424,-0.001179964,0.000510409,0.001116898
141.5,3.994030275,-0.212644301,-2.343155494,0.063182927,0.081869638,-0.085918584,-1.089632115,1.574414141,-2.046400394,-0.031833067,-0.001361268,0.089009243,,141.5,4.975138892,-0.003163538,0.000244773,0.005413086
141.6,3.96622035,-0.122345472,-2.432232012,0.091637271,0.102032731,-0.07277281,-1.213034001,1.737166107,-2.153307799,-0.116209777,-0.004376179,0.198247668,,141.6,5.088393486,-0.002470207,0.00043781,0.003583357
141.7,3.765718779,-0.020061535,-2.649306102,-0.017604057,0.034879746,-0.081667158,-1.469227338,1.803974201,-2.12212925,-0.15152092,-0.055638547,0.112164816,,141.7,5.178800902,0.000397065,0.00068484,-0.002508347
141.8,3.638972501,0.187965078,-2.696632102,0.014970102,0.069213722,-0.055467697,-1.285474265,1.613326103,-1.836933897,0.012193238,0.002714069,0.023781005,,141.8,4.975030469,-0.003560171,0.000320735,0.007312324
141.9,3.646318692,0.239018386,-2.71825367,0.102755714,0.111117162,-0.07030562,-1.378388859,1.740301221,-2.06445128,-0.143343392,0.007432336,0.263223829,,141.9,5.15678047,-0.002510356,0.001074091,0.005042437
142,3.486688604,0.370930017,-2.941862282,0.001987092,0.081919982,0.014957462,-1.615343423,2.018507553,-1.991473119,-0.135735854,0.009936285,0.202861943,,142,5.234154735,-0.001159571,-0.000279127,0.000158624
142.1,3.303421721,0.627324989,-2.994322463,0.009263429,0.099485247,0.012420997,-1.644463442,1.788106576,-1.771233557,-0.07680021,-0.03255974,0.109162174,,142.1,5.101979945,-0.00251209,0.0005456,0.005106947
142.2,3.16239689,0.623511769,-3.059654323,0.004101164,0.056613542,-0.040862818,-1.809331064,1.773378212,-1.929847313,-0.157316946,-0.015430735,0.204812508,,142.2,5.244349906,-0.000776503,0.000251322,-0.000686358
142.3,3.001169011,0.757064812,-3.213282003,-0.019937321,0.079872446,0.026490156,-1.749999268,1.806370549,-1.707970673,-0.076929376,-0.017107013,0.095472852,,142.3,5.186786227,-0.002089739,0.000260188,0.004204269
142.4,2.921107058,0.895613117,-3.240179066,0.01467193,0.085479574,-0.004652145,-1.867035752,1.728979084,-1.727947211,-0.130880713,-0.004914434,0.21337499,,142.4,5.221392159,-0.001805976,0.000505076,0.00304283
142.5,2.746215598,0.973368826,-3.349627308,-0.019788766,0.083686274,0.050673128,-1.974371177,1.821657617,-1.70900223,-0.131712403,-0.002830138,0.191222514,,142.5,5.302976929,-0.001304537,6.83908E-06,0.001708614
142.6,2.563291289,1.120759701,-3.451715261,-0.040013218,0.075396478,0.041391335,-2.081060276,1.687553933,-1.567512179,-0.126111991,-0.031721928,0.156952465,,142.6,5.275096486,-0.001004736,0.000111273,0.001041493
142.7,2.41107642,1.200691966,-3.473171623,-0.024985998,0.081716485,0.056591046,-2.099713926,1.632842897,-1.520547827,-0.100112267,-0.009568363,0.161592649,,142.7,5.268590836,-0.001888819,0.000185746,0.003480248
142.8,2.279131535,1.298357096,-3.539511053,-0.009091014,0.09954666,0.079284388,-2.17391248,1.653422552,-1.503381663,-0.134882516,0.004088768,0.229688857,,142.8,5.328773119,-0.00169255,0.000195259,0.003347626
142.9,2.085093546,1.396462674,-3.6399959,-0.05112772,0.086508299,0.100975345,-2.351131912,1.632041957,-1.454357523,-0.151348861,-0.015721927,0.217666584,,142.9,5.393126481,-0.000598461,-0.000308902,-7.99339E-05
143,1.858049315,1.496222235,-3.704914994,-0.070912608,0.076531136,0.104497531,-2.410836351,1.463285246,-1.299654161,-0.112319201,-0.040857605,0.141685752,,143,5.344001481,-0.000840155,-0.000197148,0.000773233
